,title,context,question,answers
10,Tennessee,"In 1864, Andrew Johnson (a War Democrat from Tennessee) was elected Vice President under Abraham Lincoln. He became President after Lincoln's assassination in 1865. Under Johnson's lenient re-admission policy, Tennessee was the first of the seceding states to have its elected members readmitted to the U.S. Congress, on July 24, 1866. Because Tennessee had ratified the Fourteenth Amendment, it was the only one of the formerly secessionist states that did not have a military governor during the Reconstruction period.","Which event happened last: Andrew Johnson's election as Vice President, Lincoln's assassination, or the Reconstruction period?",Reconstruction period
11,Norfolk_Island,"Islanders speak both English and a creole language known as Norfuk, a blend of 18th-century English and Tahitian. The Norfuk language is decreasing in popularity as more tourists travel to the island and more young people leave for work and study reasons; however, there are efforts to keep it alive via dictionaries and the renaming of some tourist attractions to their Norfuk equivalents. In 2004 an act of the Norfolk Island Assembly made it a co-official language of the island. The act is long-titled: ""An Act to recognise the Norfolk Island Language (Norf'k) as an official language of Norfolk Island."" The ""language known as 'Norf'k'"" is described as the language ""that is spoken by descendants of the first free settlers of Norfolk Island who were descendants of the settlers of Pitcairn Island"". The act recognises and protects use of the language but does not require it; in official use, it must be accompanied by an accurate translation into English. 32% of the total population reported speaking a language other than English in the 2011 census, and just under three-quarters of the ordinarily resident population could speak Norfuk.",How popular is the Norfuk language on the island?,just under three-quarters of the ordinarily resident population could speak Norfuk
12,Nintendo_Entertainment_System,"Japanese (Famicom) cartridges are shaped slightly differently. While the NES used a 72-pin interface, the Famicom system used a 60-pin design. Unlike NES games, official Famicom cartridges were produced in many colors of plastic. Adapters, similar in design to the popular accessory Game Genie, are available that allow Famicom games to be played on an NES. In Japan, several companies manufactured the cartridges for the Famicom. This allowed these companies to develop their own customized chips designed for specific purposes, such as chips that increased the quality of sound in their games.",Which games had more colors of plastic?,Famicom
13,Nonprofit_organization,"Although NPOs are permitted to generate surplus revenues, they must be retained by the organization for its self-preservation, expansion, or plans. NPOs have controlling members or a board of directors. Many have paid staff including management, whereas others employ unpaid volunteers and even executives who work with or without compensation (occasionally nominal). In some countries, where there is a token fee, in general it is used to meet legal requirements for establishing a contract between the executive and the organization.",Who benefits from the NPOs?,the organization
14,Genocide,"After the Holocaust, which had been perpetrated by the Nazi Germany and its allies prior to and during World War II, Lemkin successfully campaigned for the universal acceptance of international laws defining and forbidding genocides. In 1946, the first session of the United Nations General Assembly adopted a resolution that ""affirmed"" that genocide was a crime under international law, but did not provide a legal definition of the crime. In 1948, the UN General Assembly adopted the Convention on the Prevention and Punishment of the Crime of Genocide (CPPCG) which defined the crime of genocide for the first time.",When was the Holocaust?,prior to and during World War II
15,Anti-aircraft_warfare,"The solution was automation, in the form of a mechanical computer, the Kerrison Predictor. Operators kept it pointed at the target, and the Predictor then calculated the proper aim point automatically and displayed it as a pointer mounted on the gun. The gun operators simply followed the pointer and loaded the shells. The Kerrison was fairly simple, but it pointed the way to future generations that incorporated radar, first for ranging and later for tracking. Similar predictor systems were introduced by Germany during the war, also adding radar ranging as the war progressed.",What continued?,the war
16,Umayyad_Caliphate,"Non-Muslim groups in the Umayyad Caliphate, which included Christians, Jews, Zoroastrians, and pagan Berbers, were called dhimmis. They were given a legally protected status as second-class citizens as long as they accepted and acknowledged the political supremacy of the ruling Muslims. They were allowed to have their own courts, and were given freedom of their religion within the empire.[citation needed] Although they could not hold the highest public offices in the empire, they had many bureaucratic positions within the government. Christians and Jews still continued to produce great theological thinkers within their communities, but as time wore on, many of the intellectuals converted to Islam, leading to a lack of great thinkers in the non-Muslim communities.","What group of people is not associated with Islam, Jews or Muslims?",Jews
17,Sanskrit,"Samskrita Bharati is an organisation working for Sanskrit revival. The ""All-India Sanskrit Festival"" (since 2002) holds composition contests. The 1991 Indian census reported 49,736 fluent speakers of Sanskrit. Sanskrit learning programmes also feature on the lists of most AIR broadcasting centres. The Mattur village in central Karnataka claims to have native speakers of Sanskrit among its population. Inhabitants of all castes learn Sanskrit starting in childhood and converse in the language. Even the local Muslims converse in Sanskrit. Historically, the village was given by king Krishnadevaraya of the Vijayanagara Empire to Vedic scholars and their families, while people in his kingdom spoke Kannada and Telugu. Another effort concentrates on preserving and passing along the oral tradition of the Vedas, www.shrivedabharathi.in is one such organisation based out of Hyderabad that has been digitising the Vedas by recording recitations of Vedic Pandits.",what region is mentioned first?,India
18,Bermuda,"At the 2004 Summer Olympics, Bermuda competed in sailing, athletics, swimming, diving, triathlon and equestrian events. In those Olympics, Bermuda's Katura Horton-Perinchief made history by becoming the first black female diver to compete in the Olympic Games. Bermuda has had one Olympic medallist, Clarence Hill, who won a bronze medal in boxing. Bermuda also competed in Men's Skeleton at the 2006 Winter Olympics in Turin, Italy. Patrick Singleton placed 19th, with a final time of 1:59.81. Jillian Teceira competed in the Beijing Olympics in 2008. It is tradition for Bermuda to march in the Opening Ceremony in Bermuda shorts, regardless of the summer or winter Olympic celebration. Bermuda also competes in the biennial Island Games, which it hosted in 2013.",What is done outside an arena?,sailing
19,Armenians,"The Armenian Genocide caused widespread emigration that led to the settlement of Armenians in various countries in the world. Armenians kept to their traditions and certain diasporans rose to fame with their music. In the post-Genocide Armenian community of the United States, the so-called ""kef"" style Armenian dance music, using Armenian and Middle Eastern folk instruments (often electrified/amplified) and some western instruments, was popular. This style preserved the folk songs and dances of Western Armenia, and many artists also played the contemporary popular songs of Turkey and other Middle Eastern countries from which the Armenians emigrated. Richard Hagopian is perhaps the most famous artist of the traditional ""kef"" style and the Vosbikian Band was notable in the 40s and 50s for developing their own style of ""kef music"" heavily influenced by the popular American Big Band Jazz of the time. Later, stemming from the Middle Eastern Armenian diaspora and influenced by Continental European (especially French) pop music, the Armenian pop music genre grew to fame in the 60s and 70s with artists such as Adiss Harmandian and Harout Pamboukjian performing to the Armenian diaspora and Armenia. Also with artists such as Sirusho, performing pop music combined with Armenian folk music in today's entertainment industry. Other Armenian diasporans that rose to fame in classical or international music circles are world-renowned French-Armenian singer and composer Charles Aznavour, pianist Sahan Arzruni, prominent opera sopranos such as Hasmik Papian and more recently Isabel Bayrakdarian and Anna Kasyan. Certain Armenians settled to sing non-Armenian tunes such as the heavy metal band System of a Down (which nonetheless often incorporates traditional Armenian instrumentals and styling into their songs) or pop star Cher. Ruben Hakobyan (Ruben Sasuntsi) is a well recognized Armenian ethnographic and patriotic folk singer who has achieved widespread national recognition due to his devotion to Armenian folk music and exceptional talent. In the Armenian diaspora, Armenian revolutionary songs are popular with the youth.[citation needed] These songs encourage Armenian patriotism and are generally about Armenian history and national heroes.","In the latter part of the century, who rose to prominence?",Adiss Harmandian and Harout Pamboukjian
20,Crimean_War,"The Russians sent a fleet to Sinop in northern Anatolia. In the Battle of Sinop on 30 November 1853 they destroyed a patrol squadron of Ottoman frigates and corvettes while they were anchored in port. Public opinion in the UK and France was outraged and demanded war. Sinop provided the United Kingdom and France with the casus belli (""cause for war"") for declaring war against Russia. On 28 March 1854, after Russia ignored an Anglo-French ultimatum to withdraw from the Danubian Principalities, the UK and France formally declared war.",Whose tantrum was ineffectual?,Anglo-French
21,Dog,"In 2003, the ICZN ruled in its Opinion 2027 that if wild animals and their domesticated derivatives are regarded as one species, then the scientific name of that species is the scientific name of the wild animal. In 2005, the third edition of Mammal Species of the World upheld Opinion 2027 with the name Lupus and the note: ""Includes the domestic dog as a subspecies, with the dingo provisionally separate - artificial variants created by domestication and selective breeding"". However, Canis familiaris is sometimes used due to an ongoing nomenclature debate because wild and domestic animals are separately recognizable entities and that the ICZN allowed users a choice as to which name they could use, and a number of internationally recognized researchers prefer to use Canis familiaris.",What is Canis familiaris?,the dingo
22,"Richmond,_Virginia","Electricity in the Richmond Metro area is provided by Dominion Virginia Power. The company, based in Richmond, is one of the nation's largest producers of energy, serving retail energy customers in nine states. Electricity is provided in the Richmond area primarily by the North Anna Nuclear Generating Station and Surry Nuclear Generating Station, as well as a coal-fired station in Chester, Virginia. These three plants provide a total of 4,453 megawatts of power. Several other natural gas plants provide extra power during times of peak demand. These include facilities in Chester, and Surry, and two plants in Richmond (Gravel Neck and Darbytown).",What is the difference between the plants?,Nuclear Generating
23,Space_Race,"The joint mission began when Soyuz 19 was first launched on July 15, 1975 at 12:20 UTC, and the Apollo craft was launched with the docking module six and a half hours later. The two craft rendezvoused and docked on July 17 at 16:19 UTC. The three astronauts conducted joint experiments with the two cosmonauts, and the crew shook hands, exchanged gifts, and visited each other's craft.",How many Russians were docked?,two
24,The_Times,Times Atlases have been produced since 1895. They are currently produced by the Collins Bartholomew imprint of HarperCollins Publishers. The flagship product is The Times Comprehensive Atlas of the World.,what is the first word in the second paragraph?,are
25,Beyoncé,"A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.",Who did Beyonce sell more records as: solo artist or Destiny's Child?,solo artist
26,Age_of_Enlightenment,"Alexis de Tocqueville described the French Revolution as the inevitable result of the radical opposition created in the 18th century between the monarchy and the men of letters of the Enlightenment. These men of letters constituted a sort of ""substitute aristocracy that was both all-powerful and without real power"". This illusory power came from the rise of ""public opinion"", born when absolutist centralization removed the nobility and the bourgeoisie from the political sphere. The ""literary politics"" that resulted promoted a discourse of equality and was hence in fundamental opposition to the monarchical regime. De Tocqueville ""clearly designates ... the cultural effects of transformation in the forms of the exercise of power"". Nevertheless, it took another century before cultural approach became central to the historiography, as typified by Robert Darnton, The Business of Enlightenment: A Publishing History of the Encyclopédie, 1775–1800 (1979).",What drove the revolution?,radical opposition created in the 18th century between the monarchy and the men of letters of the Enlightenment
27,Bern,"The city grew out towards the west of the boundaries of the peninsula formed by the River Aare. The Zytglogge tower marked the western boundary of the city from 1191 until 1256, when the Käfigturm took over this role until 1345. It was, in turn, succeeded by the Christoffelturm (formerly located close to the site of the modern-day railway station) until 1622. During the time of the Thirty Years' War, two new fortifications – the so-called big and small Schanze (entrenchment) – were built to protect the whole area of the peninsula.",The tower which marked the western boundary of the city was replaced by what?,the Käfigturm
28,Samurai,"For example, the full name of Oda Nobunaga would be ""Oda Kazusanosuke Saburo Nobunaga"" (織田上総介三郎信長), in which ""Oda"" is a clan or family name, ""Kazusanosuke"" is a title of vice-governor of Kazusa province, ""Saburo"" is a formal nickname (yobina), and ""Nobunaga"" is an adult name (nanori) given at genpuku, the coming of age ceremony. A man was addressed by his family name and his title, or by his yobina if he did not have a title. However, the nanori was a private name that could be used by only a very few, including the Emperor.",What is the title of Nobunaga?,vice-governor of Kazusa province
29,Textual_criticism,"When comparing different documents, or ""witnesses"", of a single, original text, the observed differences are called variant readings, or simply variants or readings. It is not always apparent which single variant represents the author's original work. The process of textual criticism seeks to explain how each variant may have entered the text, either by accident (duplication or omission) or intention (harmonization or censorship), as scribes or supervisors transmitted the original author's text by copying it. The textual critic's task, therefore, is to sort through the variants, eliminating those most likely to be un-original, hence establishing a ""critical text"", or critical edition, that is intended to best approximate the original. At the same time, the critical text should document variant readings, so the relation of extant witnesses to the reconstructed original is apparent to a reader of the critical edition. In establishing the critical text, the textual critic considers both ""external"" evidence (the age, provenance, and affiliation of each witness) and ""internal"" or ""physical"" considerations (what the author and scribes, or printers, were likely to have done).",Who is in charge of sifting through intentional or accidental variants?,textual critic
30,Freemasonry,"Widespread segregation in 19th- and early 20th-century North America made it difficult for African-Americans to join Lodges outside of Prince Hall jurisdictions – and impossible for inter-jurisdiction recognition between the parallel U.S. Masonic authorities. By the 1980s, such discrimination was a thing of the past, and today most U.S. Grand Lodges recognise their Prince Hall counterparts, and the authorities of both traditions are working towards full recognition. The United Grand Lodge of England has no problem with recognising Prince Hall Grand Lodges. While celebrating their heritage as lodges of black Americans, Prince Hall is open to all men regardless of race or religion.",Another term for blacks,African-Americans
31,Israel,"Tourism, especially religious tourism, is an important industry in Israel, with the country's temperate climate, beaches, archaeological, other historical and biblical sites, and unique geography also drawing tourists. Israel's security problems have taken their toll on the industry, but the number of incoming tourists is on the rebound. In 2013, a record of 3.54 million tourists visited Israel with the most popular site of attraction being the Western Wall with 68% of tourists visiting there. Israel has the highest number of museums per capita in the world.",what is a mild feature of Israel?,climate
32,Symbiosis,"A further example is the goby fish, which sometimes lives together with a shrimp. The shrimp digs and cleans up a burrow in the sand in which both the shrimp and the goby fish live. The shrimp is almost blind, leaving it vulnerable to predators when outside its burrow. In case of danger the goby fish touches the shrimp with its tail to warn it. When that happens both the shrimp and goby fish quickly retreat into the burrow. Different species of gobies (Elacatinus spp.) also exhibit mutualistic behavior through cleaning up ectoparasites in other fish.",How does a shrimp act like a domestic?,cleans up
33,Kathmandu,"The city generally has a climate with warm days followed by cool nights and mornings. Unpredictable weather is expected, given that temperatures can drop to 1 °C (34 °F) or less during the winter. During a 2013 cold front, the winter temperatures of Kathmandu dropped to −4 °C (25 °F), and the lowest temperature was recorded on January 10, 2013, at −9.2 °C (15.4 °F). Rainfall is mostly monsoon-based (about 65% of the total concentrated during the monsoon months of June to August), and decreases substantially (100 to 200 cm (39 to 79 in)) from eastern Nepal to western Nepal. Rainfall has been recorded at about 1,400 millimetres (55.1 in) for the Kathmandu valley, and averages 1,407 millimetres (55.4 in) for the city of Kathmandu. On average humidity is 75%. The chart below is based on data from the Nepal Bureau of Standards & Meteorology, ""Weather Meteorology"" for 2005. The chart provides minimum and maximum temperatures during each month. The annual amount of precipitation was 1,124 millimetres (44.3 in) for 2005, as per monthly data included in the table above. The decade of 2000-2010 saw highly variable and unprecedented precipitation anomalies in Kathmandu. This was mostly due to the annual variation of the southwest monsoon.[citation needed] For example, 2003 was the wettest year ever in Kathmandu, totalling over 2,900 mm (114 in) of precipitation due to an exceptionally strong monsoon season. In contrast, 2001 recorded only 356 mm (14 in) of precipitation due to an extraordinarily weak monsoon season.",Where would wet days be most likely to occur in Nepal?,monsoon months
34,Arena_Football_League,"On February 17, 2010, AF1 announced it would use the ""Arena Football League"" name. The league announced plans for the upcoming season and details of its contract with NFL Network to broadcast AFL games in 2010. AF1 teams were given the option of restoring historical names to their teams. In addition to the historical teams, the league added two new expansion franchises, the Dallas Vigilantes and the Jacksonville Sharks.",A football team not from Texas is?,Jacksonville Sharks
35,Russian_Soviet_Federative_Socialist_Republic,"Many regions in Russia were affected by the Soviet famine of 1932–1933: Volga; Central Black Soil Region; North Caucasus; the Urals; the Crimea; part of Western Siberia; and the Kazak ASSR. With the adoption of the 1936 Soviet Constitution on December 5, 1936, the size of the RSFSR was significantly reduced. The Kazakh ASSR and Kirghiz ASSR were transformed into the Kazakh and Kirghiz Soviet Socialist Republics. The Karakalpak Autonomous Socialist Soviet Republic was transferred to the Uzbek SSR.",Which republic lost their autonomous status?,The Kazakh ASSR and Kirghiz ASSR
36,Gymnastics,"Aerobic gymnastics (formally Sport Aerobics) involves the performance of routines by individuals, pairs, trios or groups up to 6 people, emphasizing strength, flexibility, and aerobic fitness rather than acrobatic or balance skills. Routines are performed for all individuals on a 7x7m floor and also for 12–14 and 15-17 trios and mixed pairs. From 2009, all senior trios and mixed pairs were required to be on the larger floor (10x10m), all groups also perform on this floor. Routines generally last 60–90 seconds depending on age of participant and routine category.",A practitioner and her partner who are adults would do their Sport Aerobics routine in which space?,larger floor (10x10m)
37,Compact_disc,"CDs are susceptible to damage during handling and from environmental exposure. Pits are much closer to the label side of a disc, enabling defects and contaminants on the clear side to be out of focus during playback. Consequently, CDs are more likely to suffer damage on the label side of the disc. Scratches on the clear side can be repaired by refilling them with similar refractive plastic or by careful polishing. The edges of CDs are sometimes incompletely sealed, allowing gases and liquids to corrode the metal reflective layer and to interfere with the focus of the laser on the pits. The fungus Geotrichum candidum, found in Belize, has been found to consume the polycarbonate plastic and aluminium found in CDs.",What does polishing fix?,Scratches on the clear side
38,North_Carolina,"North Carolina provides a large range of recreational activities, from swimming at the beach to skiing in the mountains. North Carolina offers fall colors, freshwater and saltwater fishing, hunting, birdwatching, agritourism, ATV trails, ballooning, rock climbing, biking, hiking, skiing, boating and sailing, camping, canoeing, caving (spelunking), gardens, and arboretums. North Carolina has theme parks, aquariums, museums, historic sites, lighthouses, elegant theaters, concert halls, and fine dining.",What is the acronym for All Terrain Vehicle?,ATV
39,Greeks,"As of 2007, Greece had the eighth highest percentage of tertiary enrollment in the world (with the percentages for female students being higher than for male) while Greeks of the Diaspora are equally active in the field of education. Hundreds of thousands of Greek students attend western universities every year while the faculty lists of leading Western universities contain a striking number of Greek names. Notable modern Greek scientists of modern times include Dimitrios Galanos, Georgios Papanikolaou (inventor of the Pap test), Nicholas Negroponte, Constantin Carathéodory, Manolis Andronikos, Michael Dertouzos, John Argyris, Panagiotis Kondylis, John Iliopoulos (2007 Dirac Prize for his contributions on the physics of the charm quark, a major contribution to the birth of the Standard Model, the modern theory of Elementary Particles), Joseph Sifakis (2007 Turing Award, the ""Nobel Prize"" of Computer Science), Christos Papadimitriou (2002 Knuth Prize, 2012 Gödel Prize), Mihalis Yannakakis (2005 Knuth Prize) and Dimitri Nanopoulos.",Who won a prize in the middle of the aught years?,Mihalis Yannakakis
40,Paris,"On 14 June 1940, the German army marched into Paris, which had been declared an ""open city"". On 16–17 July 1942, following German orders, the French police and gendarmes arrested 12,884 Jews, including 4,115 children, and confined them during five days at the Vel d'Hiv (Vélodrome d'Hiver), from which they were transported by train to the extermination camp at Auschwitz. None of the children came back. On 25 August 1944, the city was liberated by the French 2nd Armoured Division and the 4th Infantry Division of the United States Army. General Charles de Gaulle led a huge and emotional crowd down the Champs Élysées towards Notre Dame de Paris, and made a rousing speech from the Hôtel de Ville.","What happened later, the French police and gendarmes arrested 12,884 Jews or the city was liberated?",the city was liberated
41,Protestantism,"During the Reformation, the term was hardly used outside of the German politics. The word evangelical (German: evangelisch), which refers to the gospel, was much more widely used for those involved in the religious movement. Nowadays, this word is still preferred among some of the historical Protestant denominations, above all the ones in the German-speaking area such as the EKD. The German word evangelisch means Protestant, and is different from the German evangelikal, which refers to churches shaped by Evangelicalism. The English word evangelical usually refers to Evangelical Protestant churches, and therefore not to Protestantism as a whole. It traces its roots back to the Puritans in England, where Evangelicalism originated, and then was brought to the United States. The word reformatorisch is used as an alternative for evangelisch in German, and is different from English reformed (German: reformiert), which refers to churches shaped by ideas of John Calvin, Huldrych Zwingli and other Reformed theologians.",The English word evangelical differs to the German usage which means?,Protestant
42,Videoconferencing,"While videoconferencing technology was initially used primarily within internal corporate communication networks, one of the first community service usages of the technology started in 1992 through a unique partnership with PictureTel and IBM Corporations which at the time were promoting a jointly developed desktop based videoconferencing product known as the PCS/1. Over the next 15 years, Project DIANE (Diversified Information and Assistance Network) grew to utilize a variety of videoconferencing platforms to create a multi-state cooperative public service and distance education network consisting of several hundred schools, neighborhood centers, libraries, science museums, zoos and parks, public assistance centers, and other community oriented organizations.",What is the full name of the initiative that expanded videoconferencing platforms in schools?,Diversified Information and Assistance Network
43,"United_States_presidential_election,_2004","Bush's margin of victory in the popular vote was the smallest ever for a reelected incumbent president, but marked the first time since his father's victory 16 years prior that a candidate won a majority of the popular vote. The electoral map closely resembled that of 2000, with only three states changing sides: New Mexico and Iowa voted Republican in 2004 after having voted Democratic in 2000, while New Hampshire voted Democratic in 2004 after previously voting Republican. In the Electoral College, Bush received 286 votes to Kerry's 252.",What is peculiar about Bush Jr winning the elections concerning the popular vote back when he got elected against Kerry?,marked the first time since his father's victory 16 years prior that a candidate won a majority of the popular vote
44,George_VI,"His birthday (14 December 1895) was the 34th anniversary of the death of his great-grandfather, Prince Albert, the Prince Consort. Uncertain of how the Prince Consort's widow, Queen Victoria, would take the news of the birth, the Prince of Wales wrote to the Duke of York that the Queen had been ""rather distressed"". Two days later, he wrote again: ""I really think it would gratify her if you yourself proposed the name Albert to her"". Queen Victoria was mollified by the proposal to name the new baby Albert, and wrote to the Duchess of York: ""I am all impatience to see the new one, born on such a sad day but rather more dear to me, especially as he will be called by that dear name which is a byword for all that is great and good"". Consequently, he was baptised ""Albert Frederick Arthur George"" at St. Mary Magdalene's Church near Sandringham three months later.[a] As a great-grandson of Queen Victoria, he was known formally as His Highness Prince Albert of York from birth. Within the family, he was known informally as ""Bertie"". His maternal grandmother, the Duchess of Teck, did not like the first name the baby had been given, and she wrote prophetically that she hoped the last name ""may supplant the less favoured one"".",What carried meaning for Victoria?,to name the new baby Albert
45,Korean_War,"Meanwhile, on 10 October 1950, the 89th Tank Battalion was attached to the 1st Cavalry Division, increasing the armor available for the Northern Offensive. On 15 October, after moderate KPA resistance, the 7th Cavalry Regiment and Charlie Company, 70th Tank Battalion captured Namchonjam city. On 17 October, they flanked rightwards, away from the principal road (to Pyongyang), to capture Hwangju. Two days later, the 1st Cavalry Division captured Pyongyang, the North's capital city, on 19 October 1950. Kim Il Sung and his government temporarily moved its capital to Sinuiju – although as UNC forces approached, the government again moved – this time to Kanggye.",What city did the government move to after Kanggye?,Pyongyang
46,Franco-Prussian_War,"The French Marines and naval infantry intended for the invasion of northern Germany were dispatched to reinforce the French Army of Châlons and fell into captivity at Sedan along with Napoleon III. A shortage of officers, following the capture of most of the professional French army at the Siege of Metz and at the Battle of Sedan, led naval officers to be sent from their ships to command hastily assembled reservists of the Garde Mobile. As the autumn storms of the North Sea forced the return of more of the French ships, the blockade of the north German ports diminished and in September 1870 the French navy abandoned the blockade for the winter. The rest of the navy retired to ports along the English Channel and remained in port for the rest of the war.","The French national census of 2012 estimated the population of __ to be 119,551.",Metz
47,Immaculate_Conception,"The papal bull defining the dogma, Ineffabilis Deus, mentioned in particular the patrististic interpretation of Genesis 3:15 as referring to a woman, Mary, who would be eternally at enmity with the evil serpent and completely triumphing over him. It said the Fathers saw foreshadowings of Mary's ""wondrous abundance of divine gifts and original innocence"" ""in that ark of Noah, which was built by divine command and escaped entirely safe and sound from the common shipwreck of the whole world; in the ladder which Jacob saw reaching from the earth to heaven, by whose rungs the angels of God ascended and descended, and on whose top the Lord himself leaned; in that bush which Moses saw in the holy place burning on all sides, which was not consumed or injured in any way but grew green and blossomed beautifully; in that impregnable tower before the enemy, from which hung a thousand bucklers and all the armor of the strong; in that garden enclosed on all sides, which cannot be violated or corrupted by any deceitful plots; in that resplendent city of God, which has its foundations on the holy mountains; in that most august temple of God, which, radiant with divine splendours, is full of the glory of God; and in very many other biblical types of this kind.""",How does this matter in religion?,patrististic interpretation of Genesis 3:15 as referring to a woman
