,title,context,question,answers
10,Quran,"Sahih al-Bukhari narrates Muhammad describing the revelations as, ""Sometimes it is (revealed) like the ringing of a bell"" and Aisha reported, ""I saw the Prophet being inspired Divinely on a very cold day and noticed the sweat dropping from his forehead (as the Inspiration was over)."" Muhammad's first revelation, according to the Quran, was accompanied with a vision. The agent of revelation is mentioned as the ""one mighty in power"", the one who ""grew clear to view when he was on the uppermost horizon. Then he drew nigh and came down till he was (distant) two bows' length or even nearer."" The Islamic studies scholar Welch states in the Encyclopaedia of Islam that he believes the graphic descriptions of Muhammad's condition at these moments may be regarded as genuine, because he was severely disturbed after these revelations. According to Welch, these seizures would have been seen by those around him as convincing evidence for the superhuman origin of Muhammad's inspirations. However, Muhammad's critics accused him of being a possessed man, a soothsayer or a magician since his experiences were similar to those claimed by such figures well known in ancient Arabia. Welch additionally states that it remains uncertain whether these experiences occurred before or after Muhammad's initial claim of prophethood.",What does Welch point out about the first revelation?,graphic descriptions of Muhammad's condition at these moments may be regarded as genuine
11,Neptune,"Neptune is similar in composition to Uranus, and both have compositions that differ from those of the larger gas giants, Jupiter and Saturn. Like Jupiter and Saturn, Neptune's atmosphere is composed primarily of hydrogen and helium, along with traces of hydrocarbons and possibly nitrogen, but contains a higher proportion of ""ices"" such as water, ammonia, and methane. However, its interior, like that of Uranus, is primarily composed of ices and rock, and hence Uranus and Neptune are normally considered ""ice giants"" to emphasise this distinction. Traces of methane in the outermost regions in part account for the planet's blue appearance.",What is the gas in Uranus different from?,Jupiter and Saturn
12,To_Kill_a_Mockingbird,"The theme of racial injustice appears symbolically in the novel as well. For example, Atticus must shoot a rabid dog, even though it is not his job to do so. Carolyn Jones argues that the dog represents prejudice within the town of Maycomb, and Atticus, who waits on a deserted street to shoot the dog, must fight against the town's racism without help from other white citizens. He is also alone when he faces a group intending to lynch Tom Robinson and once more in the courthouse during Tom's trial. Lee even uses dreamlike imagery from the mad dog incident to describe some of the courtroom scenes. Jones writes, ""[t]he real mad dog in Maycomb is the racism that denies the humanity of Tom Robinson .... When Atticus makes his summation to the jury, he literally bares himself to the jury's and the town's anger.""",What does the shooting of the dog represent?,racial injustice
13,Association_football,"After the World Cup, the most important international football competitions are the continental championships, which are organised by each continental confederation and contested between national teams. These are the European Championship (UEFA), the Copa América (CONMEBOL), African Cup of Nations (CAF), the Asian Cup (AFC), the CONCACAF Gold Cup (CONCACAF) and the OFC Nations Cup (OFC). The FIFA Confederations Cup is contested by the winners of all six continental championships, the current FIFA World Cup champions and the country which is hosting the Confederations Cup. This is generally regarded as a warm-up tournament for the upcoming FIFA World Cup and does not carry the same prestige as the World Cup itself. The most prestigious competitions in club football are the respective continental championships, which are generally contested between national champions, for example the UEFA Champions League in Europe and the Copa Libertadores in South America. The winners of each continental competition contest the FIFA Club World Cup.",What is the shortened form of the African Cup?,CAF
14,Affirmative_action_in_the_United_States,"Ideas for affirmative action came as early as the Reconstruction Era (1865-1877) in which a former slave population lacked the skills and resources for sustainable living. In 1865, General William Tecumseh Sherman proposed to divide the land and goods from Georgia and grant it to families of color which became the ""Forty acres and a mule"" policy. The proposal was never widely adopted due to strong political opposition. Nearly a century later (1950s-1960s), policies to assist classes of individuals reemerged during the Civil Rights Movement. The civil rights guarantees came through the interpretation of the Equal Protection Clause of the 14th Amendment. The decisions came to be known as affirmative action in which mandatory, as well as voluntary programs, affirmed the civil rights of people of color. Furthermore, these affirmative action programs protected people of color from the present effects stemming from past discrimination. In 1961, President John F. Kennedy became the first to utilize the term ""affirmative action"" in Executive Order 10925 to ensure that government contractors ""take affirmative action to ensure that applicants are employed, and employees are treated during employment, without regard to their race, creed, color, or national origin."" This executive order realized the government's intent to create equal opportunities for all qualified people. This executive order was eventually amended and superseded by Lyndon B. Johnson's Executive Order 11246 which prevented discrimination based on race, color, religion, and national origin by organizations which received federal contracts and subcontracts. In 1967, the order was amended to include sex as well. The Reagan administration was opposed to the affirmative action requirements of Executive Order 11246, but these contemplated changes[which?] faced bi-partisan opposition in Congress.",what order was amended and superseded by Executive order 11246?,realized
15,Modern_history,"The Russian Revolution is the series of revolutions in Russia in 1917, which destroyed the Tsarist autocracy and led to the creation of the Soviet Union. Following the abdication of Nicholas II of Russia, the Russian Provisional Government was established. In October 1917, a red faction revolution occurred in which the Red Guard, armed groups of workers and deserting soldiers directed by the Bolshevik Party, seized control of Saint Petersburg (then known as Petrograd) and began an immediate armed takeover of cities and villages throughout the former Russian Empire.",what is the first ethnicity mentioned?,Russian
16,Phonology,"In a course at the LSA summer institute in 1991, Alan Prince and Paul Smolensky developed optimality theory—an overall architecture for phonology according to which languages choose a pronunciation of a word that best satisfies a list of constraints ordered by importance; a lower-ranked constraint can be violated when the violation is necessary in order to obey a higher-ranked constraint. The approach was soon extended to morphology by John McCarthy and Alan Prince, and has become a dominant trend in phonology. The appeal to phonetic grounding of constraints and representational elements (e.g. features) in various approaches has been criticized by proponents of 'substance-free phonology', especially Mark Hale and Charles Reiss.",Prince helped develop phonology with?,Paul Smolensky
17,Protestantism,"Politically, Calvin favoured a mixture of aristocracy and democracy. He appreciated the advantages of democracy: ""It is an invaluable gift, if God allows a people to freely elect its own authorities and overlords."" Calvin also thought that earthly rulers lose their divine right and must be put down when they rise up against God. To further protect the rights of ordinary people, Calvin suggested separating political powers in a system of checks and balances (separation of powers). Thus he and his followers resisted political absolutism and paved the way for the rise of modern democracy. Besides England, the Netherlands were, under Calvinist leadership, the freest country in Europe in the seventeenth and eighteenth centuries. It granted asylum to philosophers like Baruch Spinoza and Pierre Bayle. Hugo Grotius was able to teach his natural-law theory and a relatively liberal interpretation of the Bible.",Calvins view of democracy?,"It is an invaluable gift, if God allows a people to freely elect its own authorities and overlords"
18,Jehovah%27s_Witnesses,"Jehovah's Witnesses believe that the Bible condemns the mixing of religions, on the basis that there can only be one truth from God, and therefore reject interfaith and ecumenical movements. They believe that only their religion represents true Christianity, and that other religions fail to meet all the requirements set by God and will soon be destroyed. Jehovah's Witnesses are taught that it is vital to remain ""separate from the world."" The Witnesses' literature defines the ""world"" as ""the mass of mankind apart from Jehovah's approved servants"" and teach that it is morally contaminated and ruled by Satan. Witnesses are taught that association with ""worldly"" people presents a ""danger"" to their faith, and are instructed to minimize social contact with non-members to better maintain their own standards of morality.",Jehovah's Witness believes what about religion?,there can only be one truth from God
19,Treaty,"In the United States, the term ""treaty"" has a different, more restricted legal sense than exists in international law. United States law distinguishes what it calls treaties from executive agreement, congressional-executive agreements, and sole executive agreements. All four classes are equally treaties under international law; they are distinct only from the perspective of internal American law. The distinctions are primarily concerning their method of approval. Whereas treaties require advice and consent by two-thirds of the Senators present, sole executive agreements may be executed by the President acting alone. Some treaties grant the President the authority to fill in the gaps with executive agreements, rather than additional treaties or protocols. And finally, congressional-executive agreements require majority approval by both the House and the Senate, either before or after the treaty is signed by the President.",What kind of treaties involved the President's approval?,"executive agreement, congressional-executive agreements, and sole executive agreements"
20,Edmund_Burke,"In November 1790, François-Louis-Thibault de Menonville, a member of the National Assembly of France, wrote to Burke, praising Reflections and requesting more ""very refreshing mental food"" that he could publish. This Burke did in April 1791 when he published A Letter to a Member of the National Assembly. Burke called for external forces to reverse the revolution and included an attack on the late French philosopher Jean-Jacques Rousseau, as being the subject of a personality cult that had developed in revolutionary France. Although Burke conceded that Rousseau sometimes showed ""a considerable insight into human nature"" he mostly was critical. Although he did not meet Rousseau on his visit to Britain in 1766–7 Burke was a friend of David Hume, with whom Rousseau had stayed. Burke said Rousseau ""entertained no principle either to influence of his heart, or to guide his understanding—but vanity""—which he ""was possessed to a degree little short of madness"". He also cited Rousseau's Confessions as evidence that Rousseau had a life of ""obscure and vulgar vices"" that was not ""chequered, or spotted here and there, with virtues, or even distinguished by a single good action"". Burke contrasted Rousseau's theory of universal benevolence and his having sent his children to a foundling hospital: ""a lover of his kind, but a hater of his kindred"".",What did Thibault say about Reflections?,very refreshing mental food
21,Brain,"The SCN projects to a set of areas in the hypothalamus, brainstem, and midbrain that are involved in implementing sleep-wake cycles. An important component of the system is the reticular formation, a group of neuron-clusters scattered diffusely through the core of the lower brain. Reticular neurons send signals to the thalamus, which in turn sends activity-level-controlling signals to every part of the cortex. Damage to the reticular formation can produce a permanent state of coma.",What is another name for the suprachiasmatic nucleus?,SCN
22,Paris,"Paris is located in northern central France. By road it is 450 kilometres (280 mi) south-east of London, 287 kilometres (178 mi) south of Calais, 305 kilometres (190 mi) south-west of Brussels, 774 kilometres (481 mi) north of Marseille, 385 kilometres (239 mi) north-east of Nantes, and 135 kilometres (84 mi) south-east of Rouen. Paris is located in the north-bending arc of the river Seine and includes two islands, the Île Saint-Louis and the larger Île de la Cité, which form the oldest part of the city. The river's mouth on the English Channel (La Manche) is about 233 mi (375 km) downstream of the city, established around 7600 BC. The city is spread widely on both banks of the river. Overall, the city is relatively flat, and the lowest point is 35 m (115 ft) above sea level. Paris has several prominent hills, the highest of which is Montmartre at 130 m (427 ft). Montmartre gained its name from the martyrdom of Saint Denis, first bishop of Paris, atop the Mons Martyrum, ""Martyr's mound"", in 250.","What is farthest east, Paris, Brussels or Rouen?",Brussels
23,Antibiotics,"The emergence of antibiotic resistance has prompted restrictions on their use in the UK in 1970 (Swann report 1969), and the EU has banned the use of antibiotics as growth-promotional agents since 2003. Moreover, several organizations (e.g., The American Society for Microbiology (ASM), American Public Health Association (APHA) and the American Medical Association (AMA)) have called for restrictions on antibiotic use in food animal production and an end to all nontherapeutic uses.[citation needed] However, commonly there are delays in regulatory and legislative actions to limit the use of antibiotics, attributable partly to resistance against such regulation by industries using or selling antibiotics, and to the time required for research to test causal links between their use and resistance to them. Two federal bills (S.742 and H.R. 2562) aimed at phasing out nontherapeutic use of antibiotics in US food animals were proposed, but have not passed. These bills were endorsed by public health and medical organizations, including the American Holistic Nurses' Association, the American Medical Association, and the American Public Health Association (APHA).",What was the first restriction of antibiotics for?,emergence of antibiotic resistance
24,Bermuda,"In May 1940, the US requested base rights in Bermuda from the United Kingdom, but British Prime Minister Winston Churchill was initially unwilling to accede to the American request without getting something in return. In September 1940, as part of the Destroyers for Bases Agreement, the UK granted the US base rights in Bermuda. Bermuda and Newfoundland were not originally included in the agreement, but both were added to it, with no war material received by the UK in exchange. One of the terms of the agreement was that the airfield the US Army built would be used jointly by the US and the UK (which it was for the duration of the war, with RAF Transport Command relocating there from Darrell's Island in 1943).",What gave the US base rights in Bermuda?,Destroyers for Bases Agreement
25,United_States_dollar,"Early releases of the Washington coin included error coins shipped primarily from the Philadelphia mint to Florida and Tennessee banks. Highly sought after by collectors, and trading for as much as $850 each within a week of discovery, the error coins were identified by the absence of the edge impressions ""E PLURIBUS UNUM IN GOD WE TRUST 2007 P"". The mint of origin is generally accepted to be mostly Philadelphia, although identifying the source mint is impossible without opening a mint pack also containing marked units. Edge lettering is minted in both orientations with respect to ""heads"", some amateur collectors were initially duped into buying ""upside down lettering error"" coins. Some cynics also erroneously point out that the Federal Reserve makes more profit from dollar bills than dollar coins because they wear out in a few years, whereas coins are more permanent. The fallacy of this argument arises because new notes printed to replace worn out notes, which have been withdrawn from circulation, bring in no net revenue to the government to offset the costs of printing new notes and destroying the old ones. As most vending machines are incapable of making change in banknotes, they commonly accept only $1 bills, though a few will give change in dollar coins.",Which group was primarily eager to obtain Washington Error coins?,collectors
26,Aircraft_carrier,"The Royal Navy is constructing two new larger STOVL aircraft carriers, the Queen Elizabeth class, to replace the three now retired Invincible-class carriers. The ships are HMS Queen Elizabeth and HMS Prince of Wales. They will be able to operate up to 40 aircraft on peace time operations with a tailored group of up to 50, and will have a displacement of 70,600 tonnes. HMS Queen Elizabeth is projected to commission in 2017 followed by Prince of Wales in about 2020. The ships are due to become operational starting in 2020. Their primary aircraft complement will be made up of F-35B Lightning IIs, and their ship's company will number around 680 with the total complement rising to about 1600 when the air group is embarked. The two ships will be the largest warships ever built for the Royal Navy.",what group is mentioned first?,The Royal Navy
27,Hellenistic_period,"The Hellenistic period covers the period of ancient Greek (Hellenic) history and Mediterranean history between the death of Alexander the Great in 323 BC and the emergence of the Roman Empire as signified by the Battle of Actium in 31 BC and the subsequent conquest of Ptolemaic Egypt the following year. At this time, Greek cultural influence and power was at its peak in Europe, Africa and Asia, experiencing prosperity and progress in the arts, exploration, literature, theatre, architecture, music, mathematics, philosophy, and science. For example, competitive public games took place, ideas in biology, and popular entertainment in theaters. It is often considered a period of transition, sometimes even of decadence or degeneration, compared to the enlightenment of the Greek Classical era. The Hellenistic period saw the rise of New Comedy, Alexandrian poetry, the Septuagint and the philosophies of Stoicism and Epicureanism. Greek Science was advanced by the works of the mathematician Euclid and the polymath Archimedes. The religious sphere expanded to include new gods such as the Greco-Egyptian Serapis, eastern deities such as Attis and Cybele and the Greek adoption of Buddhism.",The period of Greek influence along the Nile is usually known as?,Ptolemaic Egypt
28,Iranian_languages,"The geographical regions in which Iranian languages were spoken were pushed back in several areas by newly neighbouring languages. Arabic spread into some parts of Western Iran (Khuzestan), and Turkic languages spread through much of Central Asia, displacing various Iranian languages such as Sogdian and Bactrian in parts of what is today Turkmenistan, Uzbekistan and Tajikistan. In Eastern Europe, mostly comprising the territory of modern-day Ukraine, southern European Russia, and parts of the Balkans, the core region of the native Scythians, Sarmatians, and Alans had been decisively been taken over as a result of absorption and assimilation (e.g. Slavicisation) by the various Proto-Slavic population of the region, by the 6th century AD. This resulted in the displacement and extinction of the once predominant Scythian languages of the region. Sogdian's close relative Yaghnobi barely survives in a small area of the Zarafshan valley east of Samarkand, and Saka as Ossetic in the Caucasus, which is the sole remnant of the once predominant Scythian languages in Eastern Europe proper and large parts of the North Caucasus. Various small Iranian languages in the Pamirs survive that are derived from Eastern Iranian.",What was going on in Eastern Europe?,Slavicisation
29,Buddhism,"Zen Buddhism (禅), pronounced Chán in Chinese, seon in Korean or zen in Japanese (derived from the Sanskrit term dhyāna, meaning ""meditation"") is a form of Buddhism that became popular in China, Korea and Japan and that lays special emphasis on meditation.[note 12] Zen places less emphasis on scriptures than some other forms of Buddhism and prefers to focus on direct spiritual breakthroughs to truth.","Between Chan and Seon, which is Korean?",seon
30,Ashkenazi_Jews,"With the onset of the Crusades in 1095, and the expulsions from England (1290), France (1394), and parts of Germany (15th century), Jewish migration pushed eastward into Poland (10th century), Lithuania (10th century), and Russia (12th century). Over this period of several hundred years, some have suggested, Jewish economic activity was focused on trade, business management, and financial services, due to several presumed factors: Christian European prohibitions restricting certain activities by Jews, preventing certain financial activities (such as ""usurious"" loans) between Christians, high rates of literacy, near universal male education, and ability of merchants to rely upon and trust family members living in different regions and countries.",What dictated the ethics of Jews?,Christians
31,University,"European higher education took place for hundreds of years in Christian cathedral schools or monastic schools (scholae monasticae), in which monks and nuns taught classes; evidence of these immediate forerunners of the later university at many places dates back to the 6th century. The earliest universities were developed under the aegis of the Latin Church by papal bull as studia generalia and perhaps from cathedral schools. It is possible, however, that the development of cathedral schools into universities was quite rare, with the University of Paris being an exception. Later they were also founded by Kings (University of Naples Federico II, Charles University in Prague, Jagiellonian University in Kraków) or municipal administrations (University of Cologne, University of Erfurt). In the early medieval period, most new universities were founded from pre-existing schools, usually when these schools were deemed to have become primarily sites of higher education. Many historians state that universities and cathedral schools were a continuation of the interest in learning promoted by monasteries.","Which came first, the University of Naples Federico II or monastic schools?",monastic schools
32,Southampton,"The city is home or birthplace to a number of contemporary musicians such as R'n'B singer Craig David, Coldplay drummer Will Champion, former Holloways singer Rob Skipper as well as 1980s popstar Howard Jones. Several rock bands were formed in Southampton, including Band of Skulls, The Delays, Bury Tomorrow, Heart in Hand, Thomas Tantrum (disbanded in 2011) and Kids Can't Fly (disbanded in 2014). James Zabiela, a highly regarded and recognised name in dance music, is also from Southampton.","Which band disbanded earlier, Thomas Tantrum or Kids Can't Fly?",Thomas Tantrum
33,Dutch_Republic,"During the Republic, any person who wished to hold public office had to conform to the Reformed Church and take an oath to this effect. The extent to which different religions or denominations were persecuted depended much on the time period and regional or city leaders. In the beginning, this was especially focused on Roman Catholics, being the religion of the enemy. In 17th-century Leiden, for instance, people opening their homes to services could be fined 200 guilders (a year's wage for a skilled tradesman) and banned from the city. Throughout this, however, personal freedom of religion existed and was one factor – along with economic reasons – in causing large immigration of religious refugees from other parts of Europe.",what place is mentioned last?,Europe
34,"New_Haven,_Connecticut","Several recent movies have been filmed in New Haven, including Mona Lisa Smile (2003), with Julia Roberts, The Life Before Her Eyes (2007), with Uma Thurman, and Indiana Jones and the Kingdom of the Crystal Skull (2008) directed by Steven Spielberg and starring Harrison Ford, Cate Blanchett and Shia LaBeouf. The filming of Crystal Skull involved an extensive chase sequence through the streets of New Haven. Several downtown streets were closed to traffic and received a ""makeover"" to look like streets of 1957, when the film is set. 500 locals were cast as extras for the film. In Everybody's Fine (2009), Robert De Niro has a close encounter in what is supposed to be the Denver train station; the scene was filmed in New Haven's Union Station.","Which of the following is not a movie: Mona Lisa Smile, The Life Before Her Eyes, or Steven Spielberg?",Steven Spielberg
35,On_the_Origin_of_Species,"The leading naturalist in Britain was the anatomist Richard Owen, an idealist who had shifted to the view in the 1850s that the history of life was the gradual unfolding of a divine plan. Owen's review of the Origin in the April 1860 Edinburgh Review bitterly attacked Huxley, Hooker and Darwin, but also signalled acceptance of a kind of evolution as a teleological plan in a continuous ""ordained becoming"", with new species appearing by natural birth. Others that rejected natural selection, but supported ""creation by birth"", included the Duke of Argyll who explained beauty in plumage by design. Since 1858, Huxley had emphasised anatomical similarities between apes and humans, contesting Owen's view that humans were a separate sub-class. Their disagreement over human origins came to the fore at the British Association for the Advancement of Science meeting featuring the legendary 1860 Oxford evolution debate. In two years of acrimonious public dispute that Charles Kingsley satirised as the ""Great Hippocampus Question"" and parodied in The Water-Babies as the ""great hippopotamus test"", Huxley showed that Owen was incorrect in asserting that ape brains lacked a structure present in human brains. Others, including Charles Lyell and Alfred Russel Wallace, thought that humans shared a common ancestor with apes, but higher mental faculties could not have evolved through a purely material process. Darwin published his own explanation in the Descent of Man (1871).",What did Richard Owen do for a living?,anatomist
36,Portugal,"After the financial crisis of 2007–08, it was known in 2008–2009 that two Portuguese banks (Banco Português de Negócios (BPN) and Banco Privado Português (BPP)) had been accumulating losses for years due to bad investments, embezzlement and accounting fraud. The case of BPN was particularly serious because of its size, market share, and the political implications - Portugal's then current President, Cavaco Silva, and some of his political allies, maintained personal and business relationships with the bank and its CEO, who was eventually charged and arrested for fraud and other crimes. In the grounds of avoiding a potentially serious financial crisis in the Portuguese economy, the Portuguese government decided to give them a bailout, eventually at a future loss to taxpayers and to the Portuguese people in general.","Which of the following is not a bank: BPN, BPP or CEO?",CEO
37,Washington_University_in_St._Louis,"In 1867, the university opened the first private nonsectarian law school west of the Mississippi River. By 1882, Washington University had expanded to numerous departments, which were housed in various buildings across St. Louis. Medical classes were first held at Washington University in 1891 after the St. Louis Medical College decided to affiliate with the University, establishing the School of Medicine. During the 1890s, Robert Sommers Brookings, the president of the Board of Trustees, undertook the tasks of reorganizing the university's finances, putting them onto a sound foundation, and buying land for a new campus.","Which of the following is not an educational institute: Washington University, St. Louis Medical College or Robert Sommers Brookings?",Robert Sommers Brookings
38,Nanjing,"A dense wave of smog began in the Central and Eastern part of China on 2 December 2013 across a distance of around 1,200 kilometres (750 mi), including Tianjin, Hebei, Shandong, Jiangsu, Anhui, Shanghai and Zhejiang. A lack of cold air flow, combined with slow-moving air masses carrying industrial emissions, collected airborne pollutants to form a thick layer of smog over the region. The heavy smog heavily polluted central and southern Jiangsu Province, especially in and around Nanjing, with its AQI pollution Index at ""severely polluted"" for five straight days and ""heavily polluted"" for nine. On 3 December 2013, levels of PM2.5 particulate matter average over 943 micrograms per cubic metre, falling to over 338 micrograms per cubic metre on 4 December 2013. Between 3:00 pm, 3 December and 2:00pm, 4 December local time, several expressways from Nanjing to other Jiangsu cities were closed, stranding dozens of passenger buses in Zhongyangmen bus station. From 5 to 6 December, Nanjing issued a red alert for air pollution and closed down all kindergarten through middle schools. Children's Hospital outpatient services increased by 33 percent; general incidence of bronchitis, pneumonia, upper respiratory tract infections significantly increased. The smog dissipated 12 December. Officials blamed the dense pollution on lack of wind, automobile exhaust emissions under low air pressure, and coal-powered district heating system in North China region. Prevailing winds blew low-hanging air masses of factory emissions (mostly SO2) towards China's east coast.",What is the reason why the smog mentioned in the passage stuck around for so long?,lack of wind
39,Age_of_Enlightenment,"The first technical dictionary was drafted by John Harris and entitled Lexicon Technicum: Or, An Universal English Dictionary of Arts and Sciences. Harris' book avoided theological and biographical entries; instead it concentrated on science and technology. Published in 1704, the Lexicon technicum was the first book to be written in English that took a methodical approach to describing mathematics and commercial arithmetic along with the physical sciences and navigation. Other technical dictionaries followed Harris' model, including Ephraim Chambers' Cyclopaedia (1728), which included five editions, and was a substantially larger work than Harris'. The folio edition of the work even included foldout engravings. The Cyclopaedia emphasized Newtonian theories, Lockean philosophy, and contained thorough examinations of technologies, such as engraving, brewing, and dyeing.","Which happened later, the Lexicon Technicum was published, or it was drafted?",Published
